5320101018,19,foggy
5320101118,7,sunny
5320101218,9,sunny
5320101318,21,sunny
5320101418,33,foggy
5320101518,42,sunny
5320101618,41,raining
5320101718,51,sunny
5320101818,52,foggy
5320101918,53,raining
53201011018,65,sunny
53201011118,78,foggy
53201011218,82,foggy
53201011318,90,sunny
53201011418,99,raining
53201011518,102,foggy
53201011618,115,sunny
53201011718,107,raining
53201011818,116,foggy
53201011918,118,foggy
53201012018,109,foggy
53201012118,112,foggy
53201012218,120,sunny
53201012318,110,raining
53201012418,119,foggy
53201012518,131,raining
53201012618,127,raining
53201012718,136,foggy
53201012818,128,raining
53201012918,121,sunny
5320102018,33,foggy
53201023118,20,sunny
53201023218,15,sunny
53201023318,25,foggy
53201023418,25,foggy
53201023518,16,sunny
53201023618,21,snowing
53201023718,16,sunny
53201023818,27,sunny
53201023918,39,raining
53201024018,32,sunny
53201024118,45,raining
53201024218,50,raining
53201024318,39,foggy
53201024418,48,sunny
53201024518,52,foggy
53201024618,44,raining
53201024718,52,foggy
53201024818,55,foggy
53201024918,52,raining
53201025018,55,raining
53201025118,56,raining
53201025218,44,raining
53201025318,37,foggy
53201025418,34,sunny
53201025518,47,raining
53201025618,52,foggy
53201025718,63,foggy
53201025818,71,foggy
53201025918,74,sunny
5320103018,37,raining
53201036118,29,snowing
53201036218,33,raining
53201036318,42,sunny
53201036418,44,sunny
53201036518,47,sunny
53201036618,52,sunny
53201036718,47,foggy
53201036818,55,raining
53201036918,61,raining
53201037018,74,foggy
53201037118,74,foggy
53201037218,85,foggy
53201037318,96,foggy
53201037418,91,raining
53201037518,85,sunny
53201037618,82,raining
53201037718,93,foggy
53201037818,102,sunny
53201037918,115,foggy
53201038018,111,sunny
53201038118,120,foggy
53201038218,128,raining
53201038318,140,foggy
53201038418,138,raining
53201038518,138,foggy
53201038618,131,sunny
53201038718,121,sunny
53201038818,127,foggy
53201038918,134,sunny
5320104018,53,raining
53201049118,61,sunny
53201049218,57,raining
53201049318,61,raining
53201049418,63,sunny
53201049518,59,sunny
53201049618,65,raining
53201049718,51,sunny
53201049818,58,raining
53201049918,55,raining
532010410018,68,foggy
532010410118,65,raining
532010410218,78,foggy
532010410318,84,sunny
532010410418,74,raining
532010410518,75,foggy
532010410618,80,sunny
532010410718,75,sunny
532010410818,66,foggy
532010410918,59,sunny
532010411018,65,raining
532010411118,72,raining
532010411218,81,sunny
532010411318,86,foggy
532010411418,86,sunny
532010411518,97,sunny
532010411618,108,foggy
532010411718,114,foggy
532010411818,110,sunny
532010411918,112,sunny
5320105018,71,raining
532010512118,86,foggy
532010512218,101,raining
532010512318,103,sunny
532010512418,107,raining
532010512518,120,raining
532010512618,129,foggy
532010512718,127,sunny
532010512818,116,sunny
532010512918,106,foggy
532010513018,120,raining
532010513118,112,sunny
532010513218,105,raining
532010513318,111,sunny
532010513418,111,foggy
532010513518,125,foggy
532010513618,124,raining
532010513718,108,foggy
532010513818,102,sunny
532010513918,90,raining
532010514018,97,sunny
532010514118,96,foggy
532010514218,103,raining
532010514318,106,foggy
532010514418,93,foggy
532010514518,98,raining
532010514618,112,foggy
532010514718,110,sunny
532010514818,122,raining
532010514918,121,raining
5320106018,77,sunny
532010615118,70,foggy
532010615218,66,foggy
532010615318,76,sunny
532010615418,78,raining
532010615518,74,sunny
532010615618,80,foggy
532010615718,70,foggy
532010615818,58,raining
532010615918,58,raining
532010616018,57,sunny
532010616118,53,sunny
532010616218,61,raining
532010616318,48,raining
532010616418,49,sunny
532010616518,41,foggy
532010616618,38,raining
532010616718,48,raining
532010616818,59,raining
532010616918,60,raining
532010617018,71,sunny
532010617118,77,foggy
532010617218,70,sunny
532010617318,85,raining
532010617418,88,raining
532010617518,102,foggy
532010617618,104,raining
532010617718,120,raining
532010617818,134,foggy
532010617918,143,foggy
5320107018,56,sunny
532010718118,56,sunny
532010718218,49,foggy
532010718318,44,foggy
532010718418,58,sunny
532010718518,60,foggy
532010718618,61,foggy
532010718718,57,sunny
532010718818,71,raining
532010718918,81,sunny
532010719018,80,foggy
532010719118,89,foggy
532010719218,101,foggy
532010719318,108,foggy
532010719418,122,raining
532010719518,126,foggy
532010719618,137,sunny
532010719718,151,foggy
532010719818,146,sunny
532010719918,150,raining
532010720018,163,raining
532010720118,159,raining
532010720218,164,sunny
532010720318,178,sunny
532010720418,191,sunny
532010720518,194,sunny
532010720618,209,sunny
532010720718,212,sunny
532010720818,197,foggy
532010720918,212,sunny
5320108018,62,sunny
532010821118,62,sunny
532010821218,61,raining
532010821318,70,raining
532010821418,83,raining
532010821518,82,raining
532010821618,83,raining
532010821718,92,raining
532010821818,82,raining
532010821918,88,foggy
532010822018,75,foggy
532010822118,75,sunny
532010822218,61,sunny
532010822318,53,sunny
532010822418,62,sunny
532010822518,61,sunny
532010822618,69,raining
532010822718,59,foggy
532010822818,56,sunny
532010822918,61,raining
532010823018,70,raining
532010823118,76,foggy
532010823218,85,foggy
532010823318,75,sunny
532010823418,89,raining
532010823518,77,sunny
532010823618,67,sunny
532010823718,75,foggy
532010823818,66,foggy
532010823918,61,raining
5320109018,64,sunny
532010924118,66,raining
532010924218,51,sunny
532010924318,54,sunny
532010924418,60,foggy
532010924518,56,raining
532010924618,70,foggy
532010924718,83,foggy
532010924818,80,raining
532010924918,86,foggy
532010925018,82,sunny
532010925118,86,raining
532010925218,97,sunny
532010925318,86,raining
532010925418,87,raining
532010925518,91,foggy
532010925618,82,sunny
532010925718,91,foggy
532010925818,91,raining
532010925918,93,foggy
532010926018,85,raining
532010926118,94,foggy
